sa3_name16,sa3_code16,m_y12_equivalent_indigenous,m_y12_equivalent_non_indig,m_y12_equiv_indigstat_ns,m_y12_equivalent_tot,m_y11_equivalent_indigenous,m_y11_equiv_non_indig,m_y11_equiv_indigstat_ns,m_y11_equivalent_tot,m_y10_equivalent_indigenous,m_y10_equiv_non_indig,m_y10_equiv_indigstat_ns,m_y10_equivalent_tot,m_y9_equivalent_indigenous,m_y9_equiv_non_indig,m_y9_equiv_indigstat_ns,m_y9_equivalent_tot,m_y8_below_indigenous,m_y8_below_non_indig,m_y8_below_indigstat_ns,m_y8_below_tot,m_did_not_go_to_school_indig,m_did_not_go_to_sch_non_indig,m_di_no_go_to_sch_indst_ns,m_did_not_go_to_school_tot,m_highest_yr_school_ns_indig,m_highest_yr_sch_ns_non_indig,m_highe_yr_sch_ns_indst_ns,m_highest_yr_school_ns_tot,m_tot_indigenous,m_tot_non_indigenous,m_tot_indigstat_ns,m_tot_tot,f_y12_equivalent_indigenous,f_y12_equivalent_non_indig,f_y12_equiv_indigstat_ns,f_y12_equivalent_tot,f_y11_equivalent_indigenous,f_y11_equiv_non_indig,f_y11_equiv_indigstat_ns,f_y11_equivalent_tot,f_y10_equivalent_indigenous,f_y10_equiv_non_indig,f_y10_equiv_indigstat_ns,f_y10_equivalent_tot,f_y9_equivalent_indigenous,f_y9_equiv_non_indig,f_y9_equiv_indigstat_ns,f_y9_equivalent_tot,f_y8_below_indigenous,f_y8_below_non_indig,f_y8_below_indigstat_ns,f_y8_below_tot,f_did_not_go_to_school_indig,f_did_not_go_to_sch_non_indig,f_di_no_go_to_sch_indst_ns,f_did_not_go_to_school_tot,f_highest_yr_school_ns_indig,f_highest_yr_sch_ns_non_indig,f_highe_yr_sch_ns_indst_ns,f_highest_yr_school_ns_tot,f_tot_indigenous,f_tot_non_indigenous,f_tot_indigstat_ns,f_tot_tot,p_y12_equivalent_indigenous,p_y12_equivalent_non_indig,p_y12_equiv_indigstat_ns,p_y12_equivalent_tot,p_y11_equivalent_indigenous,p_y11_equiv_non_indig,p_y11_equiv_indigstat_ns,p_y11_equivalent_tot,p_y10_equivalent_indigenous,p_y10_equiv_non_indig,p_y10_equiv_indigstat_ns,p_y10_equivalent_tot,p_y9_equivalent_indigenous,p_y9_equiv_non_indig,p_y9_equiv_indigstat_ns,p_y9_equivalent_tot,p_y8_below_indigenous,p_y8_below_non_indig,p_y8_below_indigstat_ns,p_y8_below_tot,p_did_not_go_to_school_indig,p_did_not_go_to_sch_non_indig,p_di_no_go_to_sch_indst_ns,p_did_not_go_to_school_tot,p_highest_yr_school_ns_indig,p_highest_yr_sch_ns_non_indig,p_highe_yr_sch_ns_indst_ns,p_highest_yr_school_ns_tot,p_tot_indigenous,p_tot_non_indigenous,p_tot_indigstat_ns,p_tot_tot
Tea Tree Gully,40205,93,17754,90,17932,64,7209,55,7327,68,5607,44,5715,15,1373,18,1404,13,1246,17,1279,6,100,3,103,7,676,1077,1763,265,33969,1295,35531,124,19443,89,19653,62,6813,42,6914,50,6110,56,6214,17,1517,22,1560,14,1627,24,1664,0,127,3,127,6,866,1142,2018,283,36507,1369,38156,214,37197,179,37586,126,14020,89,14237,120,11715,96,11932,39,2891,40,2960,32,2879,41,2946,6,228,4,235,18,1549,2221,3781,550,70472,2665,73687
Mitcham,40303,57,15551,81,15686,21,3240,22,3279,26,2143,19,2187,12,525,7,546,11,586,5,602,0,71,4,74,5,371,896,1275,119,22490,1034,23645,69,17184,79,17331,20,3137,25,3185,20,2624,15,2657,4,660,3,669,10,821,10,844,0,114,0,119,0,530,864,1386,121,25067,998,26191,125,32741,155,33021,41,6372,50,6461,42,4762,34,4844,14,1185,8,1213,15,1410,11,1441,0,186,4,191,8,901,1759,2666,240,47560,2029,49830
Onkaparinga,40304,222,27566,182,27963,121,13169,105,13400,158,11387,93,11641,43,2998,32,3077,29,2118,36,2184,9,154,3,160,34,1421,2929,4380,612,58814,3385,62813,306,31861,193,32361,184,12280,89,12550,160,11741,106,12005,42,2907,48,2996,45,2362,56,2458,4,145,10,154,33,1723,3080,4836,768,63011,3580,67359,524,59424,378,60323,304,25448,193,25949,321,23125,199,23648,81,5905,86,6072,75,4480,88,4643,10,299,12,316,65,3144,6015,9218,1382,121826,6960,130172
Charles Sturt,40401,166,22494,125,22786,88,6616,65,6774,99,5105,48,5252,42,1581,9,1631,31,2611,28,2671,3,511,9,520,27,1129,1833,2997,468,40054,2120,42634,207,23599,131,23940,107,5969,52,6130,103,5608,72,5787,37,1817,24,1881,32,3703,52,3780,4,788,10,803,44,1293,1826,3164,535,42782,2161,45477,378,46093,260,46731,191,12593,115,12900,208,10720,115,11038,78,3394,36,3511,58,6312,78,6455,7,1299,14,1323,70,2426,3658,6155,1002,82830,4280,88110
Port Adelaide - West,40402,133,10318,67,10517,95,3800,25,3911,108,3339,27,3472,38,1149,16,1204,46,1418,8,1477,4,304,7,315,53,712,1026,1792,473,21040,1177,22688,146,11402,49,11596,118,3318,25,3464,116,3350,20,3488,46,1223,28,1295,37,1870,36,1939,0,483,14,496,27,782,1109,1919,483,22427,1279,24194,271,21714,119,22110,213,7118,46,7372,220,6688,49,6958,87,2375,44,2501,84,3287,46,3414,3,787,19,812,81,1497,2135,3707,958,43469,2453,46883
Burnside,40103,16,11973,55,12042,8,1447,11,1458,9,979,17,1003,3,246,7,258,3,305,7,311,0,43,0,43,0,281,588,872,43,15274,677,16001,32,12918,66,13013,7,1846,24,1870,4,1530,12,1556,0,329,5,334,3,487,3,493,0,67,0,67,0,421,604,1028,47,17602,711,18357,51,24891,113,25061,9,3287,31,3334,19,2510,30,2560,3,579,6,592,7,785,9,807,0,117,0,117,3,706,1189,1901,91,32877,1390,34354
Campbelltown (SA),40104,39,11208,60,11306,17,2710,27,2759,21,2051,20,2091,8,559,13,576,4,1235,12,1250,0,207,0,207,3,435,558,1006,86,18419,694,19193,49,12028,69,12144,21,2667,16,2705,22,2348,17,2379,10,689,8,704,12,1688,13,1715,0,338,3,342,3,582,565,1151,115,20339,695,21153,88,23233,132,23455,34,5383,48,5465,39,4401,33,4474,19,1247,14,1280,15,2928,28,2970,0,545,3,554,8,1018,1128,2153,199,38758,1393,40342
Prospect - Walkerville,40106,31,7334,40,7400,20,1307,6,1331,16,896,3,920,6,224,3,229,8,371,9,387,3,120,3,127,3,182,514,695,85,10435,568,11090,33,7540,35,7604,11,1235,12,1258,14,947,7,967,3,253,5,266,7,517,4,527,0,96,0,97,4,212,495,714,69,10798,564,11438,61,14873,68,15003,36,2546,18,2594,29,1847,18,1887,12,478,13,498,11,892,14,919,3,217,3,219,4,394,1007,1407,158,21239,1130,22531
West Torrens,40403,78,14470,65,14612,36,3317,17,3372,34,2651,15,2697,18,665,4,683,5,1145,8,1158,0,190,7,198,3,550,1064,1624,184,22983,1178,24344,90,15218,62,15371,35,3124,17,3169,40,2738,33,2810,12,774,5,793,9,1595,18,1624,0,310,3,314,4,762,1083,1849,192,24521,1222,25927,173,29685,123,29979,72,6437,37,6543,78,5390,42,5509,29,1439,11,1476,16,2741,34,2786,0,498,7,510,9,1317,2146,3471,374,47505,2395,50276
Barossa,40501,28,4954,42,5020,31,3033,30,3094,29,2594,20,2644,17,836,10,861,10,768,7,787,0,24,0,27,11,336,703,1044,132,12542,816,13488,41,6071,55,6160,24,2665,32,2720,21,2391,29,2444,9,686,9,703,8,794,16,817,0,19,0,18,6,363,656,1026,108,12978,792,13882,67,11019,99,11183,52,5697,65,5818,51,4988,50,5092,31,1517,18,1569,19,1564,25,1601,0,38,0,45,21,692,1359,2070,235,25522,1612,27369
Lower North,40502,39,2769,31,2844,31,1977,19,2030,32,1758,23,1810,9,671,13,691,5,681,20,707,0,19,0,23,4,277,551,827,114,8158,656,8927,42,3358,27,3430,26,1763,15,1810,20,1554,19,1596,11,550,11,570,14,569,8,591,0,9,0,9,12,286,529,830,123,8096,611,8826,75,6132,64,6271,61,3746,36,3844,49,3317,35,3402,17,1221,25,1261,17,1244,28,1292,0,30,0,28,17,564,1080,1657,239,16250,1271,17751
Mid North,40503,38,2892,28,2953,43,2468,23,2534,60,2194,45,2302,26,761,12,799,31,956,18,1001,4,29,0,40,24,381,591,999,229,9687,705,10620,63,3662,31,3757,51,2166,24,2240,64,2012,16,2096,18,745,13,782,25,941,14,975,3,31,0,37,24,429,605,1063,255,9983,706,10945,102,6547,56,6709,96,4636,41,4776,125,4211,62,4399,52,1504,28,1578,55,1892,28,1978,8,66,0,71,51,814,1191,2060,489,19669,1412,21570
Yorke Peninsula,40504,42,2570,36,2645,48,2224,26,2299,45,2379,26,2445,21,909,15,945,25,908,15,950,0,25,0,22,16,458,570,1046,197,9468,690,10359,46,3276,43,3359,51,2034,21,2112,55,2146,26,2230,23,777,8,811,13,753,24,795,0,17,0,14,13,508,528,1047,214,9511,640,10369,91,5845,76,6011,103,4265,42,4413,98,4526,51,4674,42,1690,25,1761,44,1664,37,1737,3,36,0,41,29,968,1092,2090,408,18984,1330,20722
Eyre Peninsula and South West,40601,148,6715,68,6935,176,4922,39,5146,199,4151,54,4402,96,1221,19,1336,89,1405,26,1524,3,63,3,69,208,915,1432,2560,918,19402,1647,21971,255,8134,63,8452,203,4186,41,4438,203,3657,34,3892,78,1026,19,1123,89,1223,25,1343,0,58,3,63,176,799,1389,2362,1007,19092,1571,21668,395,14856,131,15383,384,9111,88,9575,395,7805,93,8293,178,2253,35,2460,186,2629,56,2869,7,122,4,132,382,1718,2824,4924,1929,38494,3223,43640
Outback - North and East,40602,236,2666,25,2928,283,2032,28,2336,412,1627,22,2055,183,507,4,691,212,469,9,692,54,40,0,100,447,689,1020,2155,1823,8036,1110,10968,363,3013,23,3402,409,1428,24,1859,414,1247,14,1673,155,361,4,522,200,391,14,597,47,25,0,69,278,319,772,1365,1863,6776,855,9498,603,5676,45,6328,694,3460,45,4200,822,2870,39,3732,334,872,16,1214,411,860,23,1291,107,67,0,174,722,1007,1793,3518,3690,14811,1965,20462
Fleurieu - Kangaroo Island,40701,62,7211,60,7329,50,4051,53,4154,40,4095,36,4174,19,1306,13,1336,10,1067,25,1106,0,46,0,48,20,648,1171,1834,206,18415,1351,19979,68,8502,93,8665,52,4142,46,4242,54,4317,55,4423,21,1159,11,1189,14,969,18,994,0,34,0,35,8,825,1126,1958,212,19950,1346,21508,131,15717,148,15997,105,8197,100,8391,94,8411,97,8594,38,2464,28,2522,26,2036,41,2099,6,76,3,82,23,1473,2293,3790,421,38361,2701,41485
Limestone Coast,40702,63,7424,54,7544,86,5578,60,5717,82,5155,59,5296,47,1758,16,1822,28,1905,39,1967,3,257,3,262,48,1279,1331,2653,360,23348,1554,25263,119,9639,97,9859,71,5112,52,5228,80,4202,62,4346,29,1356,23,1405,21,1628,35,1678,0,120,0,117,28,942,1277,2245,337,23002,1543,24882,182,17062,151,17401,148,10684,107,10943,160,9362,119,9641,81,3113,33,3221,43,3534,72,3653,3,374,3,379,79,2219,2608,4898,693,46348,3099,50142
Murray and Mallee,40703,151,7735,78,7965,128,5371,58,5554,176,5850,71,6105,82,2127,34,2245,74,2474,37,2584,10,184,5,194,149,1514,1607,3269,767,25254,1897,27921,189,9364,81,9637,148,5094,51,5293,184,5117,59,5370,96,1681,25,1805,67,2254,44,2363,7,186,0,191,55,1074,1547,2672,748,24766,1809,27319,338,17095,164,17596,277,10461,108,10847,363,10972,135,11473,182,3808,59,4049,140,4730,78,4945,13,367,3,383,203,2583,3156,5941,1517,50024,3702,55245
Augusta - Margaret River - Busselton,50101,70,8202,60,8327,34,1982,15,2034,69,4804,43,4913,21,828,10,856,4,553,3,563,4,74,0,74,6,522,1382,1903,207,16962,1507,18679,91,9842,63,9998,31,2099,14,2143,63,4509,37,4612,13,733,13,760,9,491,8,501,4,34,0,36,12,665,1257,1929,217,18373,1399,19985,153,18046,127,18324,63,4085,32,4179,136,9315,80,9530,31,1558,22,1610,14,1044,7,1068,4,108,0,109,18,1179,2639,3833,425,35329,2907,38667
Bunbury,50102,175,13256,80,13513,115,4550,28,4694,281,11543,85,11911,66,2132,19,2220,50,1485,23,1560,3,121,0,129,125,1245,2763,4133,804,34345,3010,38158,217,16428,103,16752,143,4527,40,4710,326,10627,99,11051,59,1749,25,1837,40,1382,27,1454,9,118,0,124,44,1122,2624,3794,843,35959,2925,39723,395,29688,189,30264,256,9077,69,9402,606,22175,187,22959,126,3884,53,4064,94,2874,56,3018,9,242,0,250,171,2370,5386,7922,1648,70304,5932,77884
Manjimup,50103,38,3028,27,3093,16,852,12,879,53,2746,33,2825,21,580,11,610,5,419,11,438,0,48,0,46,8,297,734,1038,149,7961,822,8928,54,3667,37,3751,20,997,10,1034,52,2347,26,2431,7,396,8,411,15,310,8,332,0,38,0,37,15,306,747,1062,160,8060,841,9054,88,6692,68,6847,40,1845,21,1908,100,5092,62,5256,33,974,15,1019,21,734,19,768,0,80,3,87,23,603,1477,2099,302,16019,1660,17985
Mandurah,50201,152,13669,84,13909,91,4166,27,4284,191,10543,84,10819,61,2297,26,2380,29,1559,28,1626,6,98,4,111,23,1156,2462,3643,553,33495,2722,36772,211,15858,112,16183,90,4574,43,4705,225,10817,107,11145,62,2195,36,2294,30,1482,23,1539,3,91,0,92,26,1378,2152,3561,642,36393,2476,39505,364,29530,197,30089,173,8738,70,8987,414,21363,193,21966,122,4487,57,4672,60,3045,56,3159,7,189,5,199,48,2530,4621,7201,1199,69885,5196,76277
Cottesloe - Claremont,50301,71,20000,90,20157,7,809,7,825,15,1603,12,1624,3,307,4,313,8,187,0,191,4,34,0,30,6,444,1411,1868,115,23380,1521,25009,78,20949,75,21097,6,1060,15,1075,20,2262,16,2293,0,387,0,391,0,284,4,295,0,41,0,41,4,552,1422,1980,105,25541,1533,27175,146,40945,161,41255,11,1872,17,1900,31,3864,28,3921,3,691,4,702,9,470,9,487,4,72,0,78,13,1002,2831,3846,215,48917,3052,52184
Perth City,50302,114,30058,118,30288,36,2118,17,2170,72,3532,24,3632,19,620,10,650,9,719,9,740,0,165,5,166,19,818,4202,5037,272,38033,4384,42689,146,30374,107,30617,24,1909,12,1948,48,3775,31,3851,12,621,8,638,8,1071,8,1091,5,261,3,263,16,938,3919,4870,249,38938,4087,43274,260,60429,222,60911,60,4021,32,4114,120,7305,57,7478,24,1248,16,1293,13,1792,22,1825,4,423,4,432,37,1758,8120,9909,522,76972,8469,85968
Bayswater - Bassendean,50401,137,18610,68,18815,50,2417,20,2488,107,5402,25,5537,30,1003,4,1037,23,1246,16,1287,8,286,0,292,25,842,1766,2636,382,29805,1902,32092,154,19341,83,19576,54,2212,15,2280,116,5331,38,5482,27,1034,5,1067,27,1508,12,1550,10,365,0,375,35,1112,1686,2826,415,30905,1839,33164,293,37952,156,38400,99,4632,33,4763,224,10731,66,11019,55,2040,8,2099,48,2754,26,2834,14,655,5,673,60,1952,3448,5460,794,60715,3739,65253
Mundaring,50402,92,7006,46,7145,28,1634,13,1677,91,3927,28,4046,27,713,5,749,21,449,3,474,3,43,0,44,564,1685,883,3128,835,15461,978,17276,106,8142,44,8295,29,1524,12,1569,90,3629,35,3759,18,584,7,604,10,432,6,453,3,38,0,39,21,397,753,1172,277,14748,866,15894,201,15152,92,15440,62,3164,27,3251,186,7560,60,7807,47,1300,12,1359,37,885,6,929,3,76,3,85,587,2083,1636,4301,1114,30207,1839,33168
Swan,50403,277,22602,92,22974,130,4857,37,5025,292,10650,80,11019,74,1766,15,1858,45,1428,14,1491,13,350,3,369,40,1230,2851,4129,877,42892,3106,46872,357,25211,129,25699,113,4680,26,4823,298,9827,80,10208,66,1599,18,1676,51,1604,10,1666,4,458,6,471,234,1594,2576,4403,1128,44976,2848,48954,642,47818,220,48677,246,9538,63,9846,590,20479,164,21228,138,3369,32,3536,94,3036,30,3154,22,815,12,847,278,2825,5432,8529,2003,87868,5946,95821
Joondalup,50501,135,35150,164,35444,33,5593,30,5654,86,11258,76,11429,14,1550,17,1581,12,912,15,943,0,113,0,117,5,927,2353,3288,291,55512,2652,58463,145,37471,157,37768,34,5264,27,5325,77,11311,81,11466,18,1635,9,1660,4,1181,17,1206,3,132,0,135,20,1170,1970,3157,295,58166,2256,60723,277,72624,313,73212,69,10857,60,10983,168,22571,162,22894,31,3182,24,3238,14,2099,31,2145,3,248,0,255,27,2098,4322,6446,589,113680,4912,119185
Stirling,50502,214,45984,192,46388,107,5286,22,5410,176,10422,84,10674,38,2037,13,2091,34,2763,34,2833,13,751,7,773,41,1824,4343,6207,615,69058,4696,74370,267,48347,201,48814,110,5067,37,5219,210,11644,80,11935,47,2354,19,2424,42,3466,45,3556,3,940,3,950,47,2401,4224,6671,725,74225,4615,79565,474,94331,396,95211,219,10354,62,10631,383,22065,158,22606,91,4388,33,4512,74,6233,83,6387,16,1688,14,1723,89,4225,8562,12871,1343,143286,9308,153933
Wanneroo,50503,237,34737,181,35149,102,7043,43,7185,197,14205,102,14507,58,2413,15,2487,21,1712,23,1762,9,632,3,646,52,1533,3769,5351,670,62268,4144,67087,288,38926,171,39379,129,6829,43,7004,246,13223,107,13577,49,2177,16,2247,36,2086,21,2137,7,781,3,790,55,1782,3502,5337,805,65797,3872,70475,517,73657,354,74526,230,13874,84,14186,444,27430,213,28088,111,4591,35,4736,55,3800,45,3902,13,1408,8,1430,104,3315,7272,10689,1479,128065,8016,137560
Armadale,50601,147,13822,54,14029,98,3040,21,3155,196,7160,46,7402,54,1240,8,1303,34,751,13,790,3,163,9,170,34,718,1716,2469,564,26891,1871,29322,194,15537,62,15789,105,2985,18,3112,186,6601,48,6841,38,1026,12,1074,26,745,11,777,3,194,0,199,45,813,1523,2379,602,27901,1668,30170,342,29363,114,29815,200,6025,45,6275,382,13768,90,14240,96,2260,17,2377,53,1493,19,1567,12,354,9,373,74,1534,3237,4847,1160,54795,3535,59491
Belmont - Victoria Park,50602,163,17318,75,17564,68,2111,13,2190,129,4185,26,4341,21,816,6,845,23,858,15,901,14,317,5,328,37,879,2714,3624,461,26488,2862,29802,181,17149,62,17386,75,1812,11,1893,130,3828,26,3989,46,791,10,851,36,1017,13,1065,8,266,0,272,56,827,2403,3276,526,25685,2520,28733,348,34465,137,34951,144,3917,28,4083,261,8013,57,8330,69,1607,18,1695,57,1881,29,1967,18,580,5,599,89,1706,5116,6906,982,52172,5380,58537
Canning,50603,107,24111,73,24289,35,2331,11,2374,68,4955,33,5058,18,979,9,1002,15,942,13,970,5,279,0,284,21,878,1724,2625,266,34478,1865,36611,104,23858,99,24055,44,2254,15,2319,99,5089,25,5219,22,1092,11,1126,19,1293,13,1319,0,349,7,358,41,1440,1528,3017,336,35381,1691,37408,213,47965,175,48347,75,4586,24,4693,171,10048,56,10276,42,2073,20,2128,33,2235,24,2290,9,627,7,641,63,2321,3250,5639,604,69861,3558,74014
Gosnells,50604,198,22565,96,22853,95,4018,22,4136,193,9344,46,9590,52,1895,12,1961,49,1657,20,1725,8,613,3,620,325,1772,2096,4189,925,41857,2288,45065,261,23435,105,23804,125,3849,28,3999,267,8753,70,9085,60,1630,14,1710,39,1719,13,1770,10,633,3,641,47,1180,1839,3060,796,41206,2065,44070,457,46003,200,46658,214,7869,51,8134,456,18104,114,18677,120,3528,23,3670,83,3373,29,3489,10,1242,6,1262,370,2951,3927,7249,1717,83064,4353,89138
Kalamunda,50605,94,10463,38,10594,44,2326,14,2385,82,5244,35,5362,23,870,13,901,4,624,12,641,3,93,3,98,9,480,1188,1677,261,20102,1290,21653,119,11848,49,12015,47,2224,12,2278,86,4829,33,4954,24,807,13,842,8,596,9,616,3,98,0,97,10,512,1070,1597,304,20915,1180,22399,215,22313,80,22608,85,4556,25,4671,169,10075,65,10309,49,1674,25,1748,18,1220,16,1254,4,192,3,194,19,989,2256,3267,559,41018,2474,44055
Serpentine - Jarrahdale,50606,41,3872,15,3934,18,1140,4,1162,39,2897,13,2949,7,507,7,526,0,255,4,261,0,22,0,22,43,462,562,1069,153,9160,611,9924,57,4743,16,4807,28,1202,3,1234,34,2429,15,2483,12,289,0,300,3,200,3,210,0,25,0,25,4,170,477,652,136,9064,512,9710,95,8609,36,8738,45,2342,11,2394,79,5324,26,5429,18,799,8,831,6,459,5,468,0,51,0,51,47,635,1038,1721,289,18223,1119,19636
South Perth,50607,54,11850,38,11948,12,878,0,900,39,1645,11,1692,19,292,3,310,5,226,0,233,0,46,3,49,12,341,1076,1427,138,15279,1135,16554,58,12206,45,12310,13,960,4,977,45,2126,13,2184,15,378,7,397,7,354,4,365,3,86,0,93,17,559,1085,1668,163,16663,1168,17988,112,24058,91,24255,31,1837,7,1873,78,3775,29,3879,30,670,13,705,16,579,4,606,3,130,3,136,31,894,2163,3089,301,31941,2305,34546
Cockburn,50701,148,20125,92,20367,64,3551,22,3636,125,7791,60,7973,34,1432,4,1471,20,1369,18,1414,6,222,7,235,34,879,2240,3149,430,35374,2445,38249,197,22443,88,22732,60,3248,23,3337,146,7223,59,7429,35,1310,11,1361,32,1546,11,1593,4,292,0,302,40,1010,2118,3166,514,37081,2320,39910,345,42567,183,43101,129,6799,47,6974,268,15018,114,15404,64,2748,19,2833,54,2916,34,3006,14,514,11,532,70,1888,4356,6320,949,72452,4763,78162
Fremantle,50702,54,8803,56,8903,15,954,4,979,45,1947,17,2009,20,384,3,406,5,491,5,505,3,68,0,73,19,360,1253,1631,156,13013,1339,14509,51,9892,48,9999,21,825,6,853,44,1896,17,1963,14,389,8,409,8,674,7,692,0,99,0,99,10,442,1176,1631,157,14222,1268,15642,103,18692,106,18900,41,1779,11,1830,89,3848,34,3969,29,776,8,819,14,1167,10,1197,3,167,0,170,31,804,2426,3261,315,27237,2604,30149
Kwinana,50703,86,6251,27,6363,47,1498,15,1563,86,3376,26,3486,15,648,3,667,21,406,5,430,3,47,0,51,355,986,1033,2375,622,13215,1108,14947,85,7040,29,7157,41,1470,11,1524,118,3059,14,3183,26,548,4,581,25,364,7,387,3,74,0,77,20,354,928,1307,323,12914,991,14217,176,13293,53,13525,89,2973,21,3090,203,6429,41,6674,41,1197,13,1253,42,771,9,821,8,121,0,133,371,1341,1966,3677,943,26130,2099,29169
Melville,50704,98,25558,106,25767,24,2369,19,2407,51,5239,40,5328,18,903,7,921,11,782,3,798,3,124,0,131,30,770,1646,2446,233,35742,1825,37801,93,27282,105,27481,25,2573,14,2614,49,6334,49,6433,14,1133,15,1155,15,1125,15,1156,5,150,0,156,16,1215,1601,2830,216,39818,1801,41832,190,52841,213,53250,44,4935,34,5021,104,11571,88,11756,30,2035,18,2081,22,1913,18,1957,7,276,3,290,50,1988,3248,5284,441,75558,3627,79634
Rockingham,50705,251,19249,109,19602,115,5654,33,5808,220,11919,69,12211,46,2018,22,2090,31,1111,15,1160,15,77,4,90,19,1105,3636,4761,699,41129,3894,45722,272,22011,112,22397,105,5498,36,5638,240,11385,94,11717,54,1767,20,1838,31,1206,18,1256,7,121,0,129,30,1332,2992,4353,740,43316,3270,47317,522,41258,218,41996,225,11152,67,11445,463,23301,168,23931,99,3785,42,3924,62,2314,31,2412,22,195,3,222,51,2430,6631,9111,1441,84443,7162,93040
Albany,50901,146,8559,64,8770,65,2177,19,2263,187,6142,64,6394,60,1230,14,1302,67,1030,19,1120,5,168,0,177,248,985,1697,2925,776,20297,1879,22949,160,10298,81,10539,83,2317,26,2424,194,5543,62,5802,47,1020,10,1074,42,827,10,883,3,115,3,124,49,779,1618,2439,576,20897,1810,23283,309,18858,144,19308,147,4491,51,4696,379,11692,123,12193,104,2250,23,2376,110,1860,28,1999,8,284,3,301,290,1760,3312,5365,1355,41190,3685,46230
Wheat Belt - North,50902,144,7505,64,7720,80,2234,23,2345,250,6518,57,6825,80,1479,13,1571,71,1134,18,1222,7,78,3,87,61,1190,2079,3333,690,20147,2260,23096,166,8347,87,8601,111,2236,17,2363,260,5471,67,5806,66,930,19,1014,67,797,17,873,5,52,3,56,63,740,1742,2552,740,18577,1947,21257,310,15856,153,16312,187,4469,46,4705,507,11993,126,12630,144,2410,32,2588,136,1928,31,2103,14,125,3,147,122,1934,3819,5881,1425,38724,4209,44354
Wheat Belt - South,50903,50,2868,16,2940,24,743,6,773,98,2162,28,2280,25,527,9,557,36,406,10,447,0,15,0,20,34,290,770,1093,266,7009,836,8106,56,3065,25,3150,47,790,9,848,122,1826,26,1972,33,361,7,407,26,285,5,315,0,15,0,19,34,241,696,976,315,6589,771,7682,108,5934,45,6088,71,1537,14,1622,214,3986,48,4248,59,892,20,965,58,688,18,762,3,39,0,37,66,529,1469,2070,581,13596,1611,15787
Kimberley,51001,950,3463,23,4440,586,698,11,1295,1142,1820,27,2980,340,329,8,677,396,211,6,615,162,29,0,190,754,258,1280,2290,4325,6813,1351,12491,1188,4216,30,5431,797,645,14,1449,1295,1168,18,2477,370,176,4,552,390,99,3,492,192,13,0,204,620,178,1291,2091,4853,6482,1355,12697,2139,7683,54,9871,1386,1336,23,2744,2431,2983,43,5459,710,508,12,1231,787,315,10,1108,352,38,0,394,1375,434,2570,4380,9179,13299,2708,25184
East Pilbara,51002,385,3967,40,4397,230,1306,14,1551,459,2194,39,2701,116,271,3,394,119,107,4,227,30,19,3,59,160,218,2259,2632,1512,8093,2356,11958,370,3065,22,3461,239,562,8,811,437,975,23,1427,105,137,0,242,111,62,5,179,63,14,0,74,150,141,1094,1380,1472,4961,1155,7584,756,7035,60,7852,466,1872,24,2363,896,3170,57,4125,223,409,7,640,226,175,5,407,90,35,3,132,311,355,3353,4018,2981,13049,3505,19536
West Pilbara,51003,313,6615,60,6984,187,1963,18,2174,403,3407,35,3851,83,425,8,513,86,146,5,236,18,41,0,60,227,304,2919,3452,1327,12896,3042,17271,299,4522,27,4856,182,933,14,1126,356,1400,13,1776,95,170,0,268,51,86,6,149,21,12,0,31,121,158,1022,1303,1125,7290,1077,9490,616,11142,80,11841,369,2893,33,3294,762,4809,53,5625,178,591,10,777,144,231,7,378,43,45,0,88,352,468,3941,4751,2452,20185,4126,26761
Esperance,51101,23,2050,26,2104,28,683,9,715,47,1672,27,1743,17,348,0,369,15,258,8,274,3,18,0,23,17,185,726,933,159,5210,793,6159,38,2439,30,2509,28,705,4,742,58,1319,15,1394,16,254,3,274,8,194,9,214,3,5,0,12,14,234,606,857,173,5158,674,6008,60,4492,58,4614,61,1390,12,1464,111,2989,46,3143,31,608,4,644,27,451,11,492,9,24,0,33,33,421,1331,1790,328,10369,1470,12165
Gascoyne,51102,67,1172,12,1256,55,369,8,430,121,933,18,1080,51,203,0,255,29,179,0,206,8,16,0,18,48,112,466,626,382,2981,498,3867,76,1351,12,1439,75,350,0,425,143,653,5,799,38,114,0,161,28,97,0,126,10,13,0,18,46,86,394,530,413,2663,416,3497,142,2526,29,2697,132,714,4,852,264,1587,25,1876,91,325,0,411,64,275,0,341,13,27,0,39,98,196,861,1155,804,5651,915,7368
Goldfields,51103,206,5330,33,5573,155,1760,15,1928,380,3838,35,4249,162,686,3,856,213,406,10,626,24,47,0,74,291,393,1884,2568,1430,12457,1979,15870,284,5375,30,5694,216,1381,5,1606,450,2688,27,3168,159,464,8,635,227,290,12,525,16,30,0,51,265,301,1276,1842,1618,10531,1361,13515,486,10707,64,11259,370,3138,23,3529,831,6520,60,7411,325,1154,11,1487,441,691,22,1152,40,80,0,129,556,695,3165,4411,3051,22991,3342,29382
Mid West,51104,314,6757,39,7118,177,2296,25,2495,426,5642,60,6128,142,1157,15,1325,125,990,14,1127,14,69,4,86,336,642,1956,2940,1541,17559,2113,21206,432,7851,51,8338,250,2318,28,2598,529,4616,46,5184,122,830,14,972,115,729,11,850,16,65,5,83,192,588,1593,2373,1657,17003,1738,20393,746,14612,93,15450,423,4616,48,5088,955,10261,101,11319,267,1990,30,2294,239,1714,21,1974,26,129,3,163,531,1238,3544,5309,3196,34557,3849,41606
