sa3_name16,sa3_code16,pre_school_m,pre_school_f,pre_school_p,infants_primary_government_m,infants_primary_government_f,infants_primary_government_p,infants_primary_catholic_m,infants_primary_catholic_f,infants_primary_catholic_p,infnts_primry_othr_non_govt_m,infnts_primry_othr_non_govt_f,infnts_primry_othr_non_govt_p,infants_primary_tot_m,infants_primary_tot_f,infants_primary_tot_p,secondary_government_m,secondary_government_f,secondary_government_p,secondary_catholic_m,secondary_catholic_f,secondary_catholic_p,secondary_other_non_govt_m,secondary_other_non_govt_f,secondary_other_non_govt_p,secondary_tot_m,secondary_tot_f,secondary_tot_p,tec_furt_educ_inst_ft_15_24_m,tec_furt_educ_inst_ft_15_24_f,tec_furt_educ_inst_ft_15_24_p,tec_furt_educ_inst_ft_25_ov_m,tec_furt_educ_inst_ft_25_ov_f,tec_furt_educ_inst_ft_25_ov_p,tec_furt_educ_inst_pt_15_24_m,tec_furt_educ_inst_pt_15_24_f,tec_furt_educ_inst_pt_15_24_p,tec_furt_educ_inst_pt_25_ov_m,tec_furt_educ_inst_pt_25_ov_f,tec_furt_educ_inst_pt_25_ov_p,tec_furt_educ_inst_f_pt_ns_m,tec_furt_educ_inst_f_pt_ns_f,tec_furt_educ_inst_f_pt_ns_p,tec_furt_educ_inst_tot_m,tec_furt_educ_inst_tot_f,tec_furt_educ_inst_tot_p,uni_othr_tert_inst_ft_15_24_m,uni_othr_tert_inst_ft_15_24_f,uni_othr_tert_inst_ft_15_24_p,uni_othr_tert_inst_ft_25_ov_m,uni_othr_tert_inst_ft_25_ov_f,uni_othr_tert_inst_ft_25_ov_p,uni_othr_tert_inst_pt_15_24_m,uni_othr_tert_inst_pt_15_24_f,uni_othr_tert_inst_pt_15_24_p,uni_othr_tert_inst_pt_25_ov_m,uni_othr_tert_inst_pt_25_ov_f,uni_othr_tert_inst_pt_25_ov_p,uni_othr_tert_inst_f_pt_ns_m,uni_othr_tert_inst_f_pt_ns_f,uni_othr_tert_inst_f_pt_ns_p,uni_other_tert_instit_tot_m,uni_other_tert_instit_tot_f,uni_other_tert_instit_tot_p,othr_typ_educ_inst_ft_stud_m,othr_typ_educ_inst_ft_stud_f,othr_typ_educ_inst_ft_stud_p,othr_typ_educ_inst_pt_stud_m,othr_typ_educ_inst_pt_stud_f,othr_typ_educ_inst_pt_stud_p,oth_typ_ed_instit_f_pt_ns_m,oth_typ_ed_instit_f_pt_ns_f,oth_typ_ed_instit_f_pt_ns_p,other_type_educ_instit_tot_m,other_type_educ_instit_tot_f,other_type_educ_instit_tot_p,type_educanl_institution_ns_m,type_educanl_institution_ns_f,type_educanl_institution_ns_p,os_visitors_m,os_visitors_f,os_visitors_p,tot_m,tot_f,tot_p
Toowoomba,31701,890,860,1746,4289,4098,8391,1368,1414,2781,1069,1196,2260,6722,6706,13430,2722,2562,5282,1321,1343,2661,1536,1574,3110,5579,5485,11058,162,273,431,119,317,438,296,301,601,376,684,1062,9,12,21,961,1583,2547,1142,1631,2772,688,728,1417,247,417,663,729,1267,2001,9,5,14,2812,4050,6868,160,196,356,285,556,838,3,15,20,453,762,1218,5043,5632,10677,423,612,1031,22888,25692,48580
Maryborough,31905,192,199,392,1331,1208,2538,160,157,313,213,181,390,1698,1539,3236,946,920,1864,205,207,416,188,165,353,1345,1296,2634,39,38,74,28,78,103,62,83,145,59,173,231,0,3,10,188,372,560,52,101,151,39,124,161,21,44,64,67,198,263,0,0,0,171,465,639,26,55,84,69,115,180,0,0,5,98,174,274,2719,2127,4851,143,215,358,6561,6382,12936
Adelaide City,40101,63,53,116,170,175,351,35,50,91,62,66,126,271,290,568,112,141,252,28,34,64,99,70,172,238,249,480,96,85,180,66,101,173,18,23,46,61,98,161,3,0,3,249,307,558,2055,2307,4360,688,561,1254,61,77,132,187,243,429,13,10,17,3005,3189,6196,67,72,141,50,80,127,0,0,0,121,155,274,2586,1853,4441,1155,1232,2389,7677,7334,15016
Adelaide Hills,40102,462,457,914,2448,2238,4681,366,393,763,873,913,1783,3688,3538,7228,1186,1128,2314,387,343,736,935,915,1852,2507,2392,4897,82,109,188,40,117,154,218,135,355,170,343,516,0,3,4,503,711,1215,608,855,1459,184,274,463,86,110,198,277,522,796,4,8,17,1157,1772,2930,44,60,103,81,188,270,7,0,4,130,250,381,1671,1837,3507,112,169,277,10231,11122,21360
Norwood - Payneham - St Peters,40105,207,201,407,834,830,1660,239,219,456,208,176,388,1274,1225,2497,360,313,675,203,278,490,484,244,733,1056,839,1890,61,42,104,84,104,183,40,35,83,99,156,254,3,0,3,289,341,626,781,897,1682,392,421,816,62,74,131,233,319,553,9,0,10,1478,1711,3191,42,45,88,53,115,170,0,0,0,99,159,258,805,915,1717,166,258,425,5367,5649,11018
Campbelltown (SA),40104,321,293,614,1369,1241,2612,675,640,1320,151,129,284,2203,2016,4212,867,704,1568,503,464,971,170,164,334,1538,1339,2876,96,81,184,70,144,212,92,61,152,154,227,382,4,5,4,419,518,939,845,946,1791,296,379,676,87,93,174,221,328,547,4,3,11,1448,1751,3203,41,63,101,90,131,223,0,0,0,131,193,321,893,938,1831,230,302,536,7179,7346,14529
Prospect - Walkerville,40106,209,180,384,639,561,1201,327,301,630,213,246,461,1182,1112,2289,196,165,363,272,276,544,290,326,618,763,768,1525,45,36,83,50,61,115,40,27,68,80,122,198,0,0,3,213,255,465,660,651,1305,224,211,432,65,71,144,183,220,405,4,3,9,1135,1155,2293,38,31,67,51,69,127,0,0,0,93,105,196,612,640,1250,124,186,310,4331,4388,8715
West Torrens,40403,353,335,686,1318,1176,2495,585,676,1258,279,276,552,2180,2126,4306,611,676,1284,426,454,883,329,325,655,1364,1454,2821,140,127,269,170,216,390,114,82,197,221,256,478,0,6,8,645,688,1333,1237,1448,2693,573,677,1245,119,125,238,293,453,747,3,10,16,2223,2713,4942,102,103,205,139,187,324,0,8,5,233,299,531,1468,1710,3183,253,376,628,8731,9708,18433
Barossa,40501,250,199,455,1244,1100,2347,50,39,92,569,536,1105,1865,1679,3547,670,648,1317,93,69,156,301,320,621,1059,1038,2094,29,39,67,17,61,75,103,62,169,98,170,264,0,4,9,246,336,582,133,263,400,39,84,122,15,26,40,70,151,223,0,3,5,251,530,784,19,26,45,34,83,124,0,0,3,60,115,172,1118,1097,2214,69,100,165,4931,5084,10016
Lower North,40502,149,141,286,694,659,1354,115,141,258,160,170,335,975,970,1942,518,509,1028,9,12,19,99,115,216,625,631,1257,18,18,36,6,25,32,36,43,76,58,114,170,0,0,3,122,195,317,23,52,73,9,37,41,4,6,9,27,75,104,0,7,7,67,177,237,11,15,17,16,55,68,0,0,0,26,69,91,811,827,1639,20,51,70,2791,3058,5845
Mid North,40503,162,128,286,776,754,1530,317,310,631,66,63,129,1161,1133,2295,529,499,1026,209,210,415,54,70,125,795,773,1567,18,40,59,12,66,75,63,53,119,76,96,176,3,0,3,175,258,429,21,51,74,9,41,54,5,27,26,26,85,114,0,0,0,64,200,270,23,22,45,9,47,58,0,0,3,34,68,103,1036,997,2035,55,30,81,3476,3588,7065
Yorke Peninsula,40504,129,107,236,746,632,1381,112,94,202,117,139,259,977,861,1844,566,490,1054,11,3,16,79,74,151,660,564,1221,11,13,29,11,28,39,37,33,73,29,74,99,0,0,0,90,149,238,13,53,65,13,34,43,3,8,12,24,64,83,0,0,0,53,151,203,11,16,30,21,63,80,0,0,0,35,80,113,927,934,1863,24,30,48,2891,2880,5768
Unley,40107,247,242,487,916,889,1804,255,268,523,406,397,808,1580,1552,3130,323,327,654,205,203,406,493,552,1038,1016,1081,2100,46,59,104,64,92,155,37,20,53,101,170,269,0,0,0,248,335,590,791,984,1772,375,397,773,76,88,162,254,356,612,5,7,7,1500,1830,3332,31,45,78,69,105,178,0,0,3,106,153,259,763,873,1636,162,226,385,5622,6290,11906
Gawler - Two Wells,40201,215,202,425,985,919,1907,236,218,457,461,463,927,1688,1599,3288,446,393,838,312,359,668,382,361,741,1139,1109,2246,56,51,107,23,65,91,92,97,190,94,197,289,0,0,7,268,410,680,184,295,482,53,110,157,30,63,93,69,163,238,0,4,4,338,634,967,20,39,58,30,92,126,3,0,4,48,130,187,979,990,1970,38,52,85,4711,5125,9837
Playford,40202,726,687,1408,3100,2920,6025,749,745,1496,815,763,1575,4666,4435,9100,1644,1503,3153,512,586,1101,556,513,1070,2719,2605,5326,205,247,456,182,362,549,194,205,404,304,552,862,9,9,21,902,1387,2284,486,660,1143,198,282,475,72,114,184,190,345,537,3,7,10,955,1403,2356,158,218,375,139,335,475,12,11,18,309,565,871,3557,3606,7159,100,123,227,13920,14807,28725
Port Adelaide - East,40203,449,439,885,1604,1536,3137,765,739,1505,398,412,809,2763,2684,5446,909,770,1681,451,520,971,339,320,664,1700,1613,3315,184,157,344,203,308,510,120,89,202,285,409,694,9,9,17,799,967,1770,1081,1015,2104,504,547,1048,90,93,185,301,441,750,8,13,16,1993,2110,4097,129,154,283,160,220,378,6,0,9,294,370,669,2550,2042,4588,331,535,862,10874,10764,21638
Salisbury,40204,891,900,1798,4420,4061,8479,1154,1154,2307,937,951,1881,6505,6158,12664,2420,2142,4563,847,873,1718,794,808,1605,4058,3824,7885,282,306,591,350,501,854,248,254,502,440,789,1231,15,14,27,1333,1869,3204,1388,1628,3018,589,636,1225,142,211,346,356,593,953,5,16,20,2477,3077,5562,276,328,602,255,506,760,12,8,18,541,845,1382,3599,3787,7387,447,569,1011,19861,21029,40887
Tea Tree Gully,40205,552,514,1065,2827,2625,5452,761,680,1438,707,675,1383,4296,3981,8274,1568,1467,3038,578,576,1153,653,686,1340,2796,2735,5529,161,153,321,99,177,278,232,167,401,305,455,759,3,6,7,802,959,1761,955,1152,2105,296,411,707,128,168,296,294,585,876,7,5,7,1673,2318,3992,77,102,179,144,272,417,9,8,14,233,378,609,1543,1777,3316,213,318,535,12105,12982,25086
Mitcham,40303,418,395,815,1925,1858,3786,449,494,937,552,594,1154,2925,2950,5872,784,788,1569,417,446,863,809,751,1558,2016,1982,3996,84,80,167,73,88,163,93,70,166,179,267,439,0,3,0,431,510,944,1240,1563,2805,550,641,1198,108,123,224,343,577,920,4,16,23,2247,2920,5165,61,58,121,102,158,254,4,5,11,169,216,387,1279,1473,2751,253,351,599,9737,10792,20532
Onkaparinga,40304,1059,1022,2085,5669,5168,10839,1024,990,2018,1311,1267,2572,8006,7421,15429,3208,3125,6336,695,644,1331,1112,1166,2280,5016,4935,9948,228,265,495,155,354,509,416,312,734,492,809,1300,12,10,17,1308,1745,3058,1160,1639,2802,428,668,1098,183,245,422,477,953,1426,8,15,20,2251,3517,5770,110,202,315,266,480,747,3,9,19,385,693,1079,4095,4576,8669,267,425,687,22389,24345,46734
Charles Sturt,40401,606,567,1175,2441,2275,4717,1458,1427,2884,332,338,667,4232,4038,8274,1380,1334,2715,998,1060,2063,341,327,671,2718,2727,5447,181,184,366,193,247,438,187,128,317,322,511,838,17,7,27,904,1080,1979,1508,1682,3191,504,586,1084,148,186,336,442,692,1134,7,20,30,2609,3172,5782,133,132,269,199,290,491,0,13,9,329,436,771,2773,3000,5772,283,426,713,14462,15452,29915
Port Adelaide - West,40402,325,330,653,1361,1276,2638,729,640,1367,180,192,370,2276,2105,4381,884,795,1681,473,492,970,171,147,321,1534,1442,2975,157,135,287,139,201,341,98,88,190,170,357,527,5,4,12,569,784,1350,580,782,1369,242,298,541,74,82,154,193,363,556,3,9,13,1097,1536,2627,74,110,187,97,174,271,8,6,10,178,291,465,1566,1773,3336,182,287,471,7716,8550,16263
Eyre Peninsula and South West,40601,384,358,746,2082,1901,3979,401,400,803,234,223,461,2712,2532,5245,1164,1060,2224,316,348,661,90,146,237,1571,1552,3125,39,79,122,53,110,157,92,116,203,117,308,425,10,8,12,303,621,924,44,128,176,54,143,196,19,54,79,99,232,331,0,0,7,214,566,780,37,42,76,51,126,175,7,0,8,89,167,259,3061,2613,5669,121,98,219,8457,8499,16955
Outback - North and East,40602,178,180,361,957,883,1837,199,173,368,26,35,66,1182,1090,2270,468,469,939,94,104,194,9,8,20,568,590,1152,18,21,33,14,25,40,54,49,103,115,119,241,3,3,7,204,222,427,11,39,53,19,39,58,11,19,27,104,137,238,0,0,0,147,233,378,15,19,31,20,65,83,0,4,4,37,85,116,2805,1579,4379,150,137,291,5275,4105,9378
Burnside,40103,296,299,602,1337,1255,2593,265,266,537,427,454,880,2033,1976,4007,638,630,1268,252,300,555,680,774,1454,1574,1698,3273,56,36,89,54,104,163,44,30,79,98,151,248,0,3,4,252,331,585,1003,1046,2045,324,335,662,82,85,173,226,319,547,7,8,11,1643,1794,3437,28,48,79,64,106,170,0,3,4,93,158,254,826,988,1818,259,340,606,6984,7595,14581
Fleurieu - Kangaroo Island,40701,228,243,477,1338,1290,2629,65,53,115,455,432,889,1863,1769,3632,826,822,1644,44,44,86,312,384,701,1175,1252,2432,29,48,76,24,90,111,83,77,167,102,195,293,5,5,10,243,409,648,93,159,245,59,94,157,19,29,47,65,222,287,0,3,3,239,501,740,31,31,59,39,97,134,0,0,0,63,128,193,1664,1783,3446,210,225,442,5683,6319,12007
Limestone Coast,40702,404,360,764,2548,2313,4862,482,430,909,261,225,480,3280,2969,6249,1374,1364,2742,313,322,632,143,143,281,1835,1821,3658,54,66,123,46,114,161,175,156,326,131,300,435,6,6,12,408,648,1052,86,188,276,38,127,167,25,39,71,89,256,351,0,0,0,243,619,864,41,40,79,78,161,239,3,3,4,126,207,333,2649,2180,4824,188,164,353,9129,8960,18095
Murray and Mallee,40703,366,350,722,2191,1990,4177,471,420,889,369,364,736,3030,2769,5802,1637,1655,3291,56,47,104,201,179,376,1894,1874,3765,66,70,133,39,100,141,131,126,251,146,293,434,3,3,7,381,586,966,104,215,316,54,98,151,11,35,47,76,204,276,4,6,6,245,563,803,46,64,112,83,148,232,0,3,8,131,220,348,3291,2711,6000,413,358,772,9751,9433,19183
Augusta - Margaret River - Busselton,50101,326,312,639,1578,1393,2973,403,402,807,479,490,971,2463,2287,4749,1052,983,2033,313,330,643,363,372,736,1731,1677,3410,45,75,124,38,85,122,141,76,216,109,268,375,4,4,8,339,518,852,37,100,135,44,130,178,11,28,42,83,276,363,0,0,0,178,541,721,37,56,89,57,118,178,3,0,3,95,174,273,2026,2138,4157,451,527,982,7604,8171,15778
Bunbury,50102,700,599,1297,3334,3182,6511,841,841,1679,547,493,1040,4718,4514,9237,2468,2408,4873,662,689,1354,563,565,1130,3698,3664,7356,165,190,355,77,192,270,324,174,501,182,473,648,6,9,17,755,1041,1793,116,318,429,95,290,379,51,95,144,181,500,679,0,7,7,434,1216,1649,52,91,142,129,254,384,3,3,3,183,352,532,4036,3943,7978,209,316,520,14725,15646,30368
Manjimup,50103,128,104,233,617,617,1232,267,278,542,25,40,71,906,941,1844,564,509,1067,122,155,279,62,49,113,747,713,1461,19,24,40,4,18,22,49,37,81,35,86,121,6,0,5,107,160,266,8,28,38,15,30,45,7,7,15,24,88,108,0,0,0,56,151,212,13,15,28,14,39,53,5,3,7,27,57,88,1050,1098,2150,144,143,291,3174,3376,6547
Mandurah,50201,547,505,1055,2725,2566,5291,630,697,1331,689,675,1371,4053,3934,7986,1639,1534,3170,537,595,1132,749,807,1557,2933,2934,5863,170,207,383,62,191,257,268,166,436,165,315,476,3,6,10,674,890,1565,391,621,1010,113,323,437,67,119,185,150,443,590,0,0,6,722,1513,2228,68,128,194,109,320,434,7,3,7,184,450,633,3093,3339,6432,178,287,462,12380,13852,26228
Cottesloe - Claremont,50301,433,389,818,1863,1714,3573,435,439,876,793,817,1611,3089,2975,6066,661,572,1233,460,605,1067,1909,1823,3728,3020,3007,6027,84,52,133,46,63,108,73,47,115,88,155,245,0,0,3,288,314,604,2534,2453,4988,745,665,1412,176,162,345,363,532,895,10,22,27,3826,3828,7660,46,47,86,89,170,251,7,5,10,135,214,349,1903,2041,3945,583,797,1385,13275,13570,26848
Perth City,50302,539,479,1022,2225,2017,4248,488,460,946,282,327,610,2999,2807,5803,981,1013,1997,523,428,955,475,668,1144,1976,2111,4091,221,237,456,399,531,928,102,94,199,305,463,767,3,7,9,1035,1326,2366,1594,1833,3428,1027,1004,2029,164,246,409,863,1054,1918,16,12,29,3664,4154,7816,255,344,594,264,476,747,3,6,6,519,829,1348,6166,5625,11791,2175,2371,4547,19074,19704,38777
Bayswater - Bassendean,50401,447,411,862,1834,1589,3419,810,805,1621,335,334,665,2975,2729,5701,1030,1003,2026,647,651,1303,374,373,745,2051,2026,4074,225,160,381,225,268,486,169,102,275,238,373,606,11,9,23,858,909,1766,927,975,1905,383,425,809,127,153,281,381,608,987,12,12,26,1823,2183,4002,122,121,247,184,264,448,5,5,14,318,388,705,2392,2537,4932,338,515,858,11207,11697,22900
Mundaring,50402,246,221,471,1195,1117,2313,247,209,454,330,337,663,1778,1658,3432,647,672,1314,330,273,602,489,458,945,1461,1402,2859,73,63,132,30,71,101,134,55,187,58,164,218,3,0,3,297,351,645,224,330,553,63,112,174,55,66,124,118,247,369,6,3,11,472,756,1231,31,46,77,49,108,157,0,0,0,79,154,234,2919,1131,4054,64,105,174,7320,5783,13105
Swan,50403,855,854,1705,4034,3667,7703,1148,1082,2233,1079,974,2058,6257,5727,11987,2589,2428,5025,1067,1027,2100,1190,1006,2201,4851,4466,9321,324,286,612,180,260,439,337,222,558,338,592,928,12,18,34,1185,1381,2572,935,1334,2267,291,496,783,170,238,411,387,704,1089,6,12,25,1791,2787,4574,149,195,346,229,472,699,12,10,23,389,674,1064,4159,4795,8954,409,641,1054,19903,21332,41230
Joondalup,50501,1007,877,1880,5001,4700,9697,1339,1321,2654,983,1017,1996,7320,7028,14347,3052,2826,5878,1235,1257,2493,1613,1535,3150,5895,5624,11519,306,295,605,114,226,342,492,195,678,346,511,858,10,12,22,1263,1237,2508,2178,2422,4606,526,687,1217,270,387,652,569,1056,1626,7,18,28,3561,4571,8129,100,141,244,219,387,611,3,4,11,326,537,863,2684,2927,5611,446,746,1194,22500,23552,46046
Stirling,50502,1113,1071,2179,4330,4155,8487,1905,1853,3756,875,880,1749,7109,6884,13990,2578,2388,4966,1559,1548,3104,1331,1381,2713,5466,5317,10783,456,393,846,514,645,1157,354,191,545,596,866,1457,28,18,41,1943,2106,4047,2392,2647,5041,1007,1148,2149,331,390,723,919,1347,2270,18,35,49,4667,5562,10225,318,345,663,412,718,1131,17,11,24,738,1077,1815,5896,6602,12492,881,1312,2186,27811,29922,57732
Wanneroo,50503,1393,1307,2697,6939,6450,13392,1531,1497,3031,1329,1254,2588,9802,9206,19005,4367,3996,8364,1314,1409,2723,1443,1481,2923,7124,6885,14011,484,476,960,236,454,696,578,297,871,462,770,1234,29,15,40,1784,2014,3801,1663,2074,3734,462,784,1252,243,376,619,539,975,1517,12,21,34,2919,4230,7151,255,312,562,313,692,1003,9,13,19,573,1017,1588,5332,5881,11215,560,868,1427,29489,31413,60902
Armadale,50601,635,612,1251,2701,2460,5154,395,425,821,668,674,1344,3766,3560,7318,1570,1539,3111,279,270,552,576,614,1188,2426,2421,4846,192,215,406,119,218,340,207,145,350,203,363,568,9,6,12,728,953,1681,494,674,1167,204,337,536,73,132,202,276,465,738,6,14,14,1044,1619,2669,103,135,245,127,277,407,3,9,12,236,421,659,2461,2604,5071,305,493,797,11604,12691,24300
Belmont - Victoria Park,50602,343,325,666,1268,1201,2463,607,584,1192,299,297,600,2174,2076,4253,712,659,1369,476,502,971,205,190,392,1393,1346,2737,272,167,435,276,357,627,144,97,241,228,324,553,3,3,5,926,946,1874,1134,1075,2206,598,624,1219,98,157,258,380,506,884,9,9,17,2214,2366,4581,195,169,366,195,290,490,4,7,12,399,460,863,3751,3360,7110,539,688,1224,11739,11574,23313
Canning,50603,501,459,964,2781,2623,5403,596,512,1115,393,368,767,3777,3504,7283,2368,2228,4595,476,450,924,376,418,795,3217,3095,6317,404,290,695,345,395,738,228,107,334,269,406,676,5,10,12,1254,1205,2463,2679,2604,5279,1087,886,1976,215,211,422,396,510,903,20,11,34,4393,4226,8622,251,196,451,187,273,463,4,3,7,446,477,926,2406,2529,4935,795,1059,1851,16799,16557,33365
Gosnells,50604,806,816,1627,4014,3642,7660,768,694,1463,787,807,1593,5572,5141,10713,2772,2510,5281,721,699,1416,719,735,1453,4216,3935,8151,365,337,701,267,390,652,309,217,524,329,571,904,15,9,26,1281,1527,2806,1214,1387,2601,425,553,981,146,190,337,329,548,872,5,18,23,2123,2693,4811,240,212,447,237,412,643,6,11,17,477,628,1112,4247,3201,7447,544,866,1410,19270,18806,38072
Kalamunda,50605,365,317,685,1790,1738,3526,435,445,876,363,343,706,2588,2522,5106,1123,1136,2260,648,610,1258,346,368,709,2117,2117,4231,106,105,213,40,94,134,175,84,262,115,179,294,3,3,3,442,466,912,379,557,929,115,179,298,72,104,173,148,329,475,0,5,5,709,1172,1886,45,62,112,91,200,286,4,3,9,146,265,408,1544,1620,3163,150,208,360,8060,8683,16741
Serpentine - Jarrahdale,50606,203,206,406,1020,908,1928,131,124,253,259,262,526,1416,1291,2705,543,535,1073,70,74,146,272,311,588,890,919,1809,50,55,105,18,36,52,69,59,130,69,107,182,3,0,4,209,253,467,117,189,305,36,82,119,19,30,55,58,125,184,3,0,3,239,428,665,25,32,56,29,71,99,3,0,3,54,104,155,1107,782,1890,65,94,157,4174,4076,8253
South Perth,50607,210,185,392,750,788,1538,334,282,619,271,262,541,1363,1332,2692,358,337,698,568,273,839,558,485,1044,1483,1094,2584,105,102,202,80,133,209,62,44,98,112,161,273,3,4,9,359,438,795,1183,1247,2428,501,423,922,108,122,228,275,358,632,6,5,18,2079,2155,4226,53,38,96,73,151,225,4,4,8,135,195,327,1338,1457,2797,344,432,771,7303,7284,14585
Cockburn,50701,658,689,1353,3426,3119,6545,965,970,1938,304,332,642,4695,4421,9122,1655,1609,3268,1116,1216,2335,413,451,866,3181,3282,6467,285,204,491,148,213,360,272,157,428,271,409,675,8,5,12,976,991,1972,896,1267,2161,336,520,852,140,204,344,377,702,1085,0,14,16,1751,2706,4461,119,121,239,185,312,502,4,6,14,308,440,747,2934,3151,6087,436,598,1034,14955,16278,31237
Fremantle,50702,178,197,371,831,807,1638,196,239,429,155,180,337,1178,1224,2402,410,384,791,311,369,680,192,201,393,909,957,1858,60,43,101,60,74,136,53,32,84,76,122,194,3,0,3,247,269,516,409,531,945,221,348,569,56,71,130,230,385,616,8,3,11,925,1339,2270,22,32,55,60,111,175,3,0,4,86,140,232,1674,1809,3482,253,362,614,5455,6295,11750
Kwinana,50703,284,260,547,1296,1159,2454,240,234,472,294,339,636,1831,1733,3564,716,693,1417,174,153,327,225,230,456,1123,1081,2205,112,91,206,51,100,158,103,50,150,117,167,280,0,0,3,382,413,797,217,340,551,102,164,265,40,62,100,134,213,347,0,3,3,487,785,1276,44,67,120,54,148,205,0,0,0,102,223,328,2404,1437,3846,121,204,324,6732,6136,12874
Melville,50704,577,583,1167,3112,2708,5817,789,833,1625,276,339,617,4179,3883,8063,1726,1577,3303,1118,1269,2387,811,773,1580,3658,3619,7274,213,139,354,138,165,298,202,85,288,180,281,468,7,5,14,747,676,1426,2055,2234,4288,606,692,1296,225,249,478,463,672,1137,8,14,19,3364,3853,7217,77,124,193,162,263,424,3,5,10,236,392,628,2311,2774,5079,522,805,1329,15594,16581,32177
Rockingham,50705,848,800,1647,4791,4452,9242,693,763,1448,903,842,1745,6385,6053,12438,2845,2694,5542,581,608,1190,945,938,1878,4374,4240,8614,278,290,572,88,264,355,368,267,635,262,523,783,11,19,31,1011,1358,2373,594,904,1503,175,474,654,104,184,293,303,679,980,3,5,9,1178,2250,3431,103,152,257,168,455,622,9,12,16,282,616,898,4579,4499,9077,304,384,696,18960,20206,39165
Albany,50901,367,308,669,1783,1659,3439,239,239,480,449,452,899,2472,2353,4820,1357,1261,2621,142,138,277,422,438,860,1920,1832,3753,128,88,216,48,86,136,157,126,282,163,315,475,7,8,15,496,629,1127,48,88,130,39,87,124,20,36,59,85,236,322,0,0,0,187,447,636,38,55,95,54,100,153,0,3,3,94,155,247,2992,2435,5428,193,252,449,8722,8403,17126
Wheat Belt - North,50902,339,299,641,1767,1709,3476,374,351,724,109,125,232,2255,2186,4444,1129,1053,2186,233,217,443,162,164,327,1523,1435,2956,57,49,107,14,43,54,117,101,213,86,246,337,0,3,4,275,440,717,64,137,200,32,66,103,9,26,36,61,185,252,0,3,8,172,420,595,112,39,156,32,125,163,3,0,3,149,167,321,3505,2661,6167,281,270,557,8507,7883,16391
Wheat Belt - South,50903,141,110,247,749,806,1562,77,80,155,12,25,35,840,910,1752,443,424,870,5,3,10,19,17,38,471,444,915,20,18,40,5,19,30,38,25,56,23,90,115,0,0,4,84,159,243,9,18,33,8,27,29,8,15,21,30,67,105,0,0,0,57,126,182,9,15,28,15,50,63,0,5,3,28,69,94,1206,1042,2254,59,57,114,2884,2919,5803
Kimberley,51001,265,240,504,1339,1296,2637,403,394,800,125,135,254,1868,1823,3688,735,682,1419,131,150,282,65,61,128,928,896,1831,24,17,41,19,23,42,58,49,112,138,239,377,3,10,14,241,339,583,28,48,74,41,89,125,9,30,32,104,278,390,3,3,4,182,450,627,19,27,48,37,81,121,3,3,6,63,113,176,3571,3413,6985,639,674,1312,7755,7955,15708
East Pilbara,51002,164,147,310,871,823,1693,80,85,162,41,36,74,994,940,1931,475,492,969,4,0,4,23,12,34,498,504,1004,27,21,48,21,27,51,52,55,104,151,175,330,4,3,9,258,280,540,3,25,28,11,44,59,7,23,36,201,165,367,4,0,5,230,263,493,7,20,30,58,71,132,4,5,8,72,99,171,5406,2102,7511,212,132,341,7827,4474,12308
West Pilbara,51003,281,226,511,1303,1211,2519,189,180,372,48,45,94,1538,1442,2983,660,463,1129,167,164,330,19,11,31,846,641,1489,17,15,32,24,22,45,62,58,123,278,214,493,5,3,13,396,304,695,8,30,43,49,47,99,4,12,24,245,209,458,3,0,8,321,307,625,11,8,23,90,95,182,3,0,4,105,105,214,7012,2070,9086,571,233,805,11077,5340,16413
Esperance,51101,82,103,183,578,572,1153,50,43,92,56,46,106,687,662,1342,443,417,863,10,3,14,115,116,232,566,539,1107,18,3,21,3,7,15,31,33,59,24,71,99,3,0,3,82,114,195,3,11,21,10,15,21,0,13,13,27,59,80,0,0,0,40,99,138,7,9,19,14,30,38,0,0,0,19,42,61,1080,985,2063,31,43,74,2583,2590,5176
Gascoyne,51102,84,64,156,294,264,552,98,91,187,61,53,114,452,408,853,170,158,333,57,43,98,4,3,10,233,211,444,9,5,7,0,10,8,18,13,31,25,60,81,0,0,0,48,90,134,3,4,8,10,16,22,0,5,8,23,44,69,0,0,0,36,70,110,9,3,6,7,13,25,0,0,0,16,22,33,1168,997,2163,247,311,557,2281,2175,4455
Goldfields,51103,254,248,502,1422,1396,2817,276,307,581,116,101,215,1809,1801,3607,689,652,1348,328,347,675,83,87,171,1104,1093,2195,44,54,91,13,39,47,108,129,234,133,285,414,7,7,10,296,506,802,113,49,161,93,66,159,18,27,46,169,230,394,0,0,0,396,375,771,20,34,51,64,93,157,8,3,4,83,128,216,4202,2421,6617,146,143,291,8300,6709,15002
Mid West,51104,330,290,619,1582,1447,3031,577,594,1170,274,293,564,2431,2331,4761,935,868,1805,529,593,1126,239,253,488,1700,1710,3418,62,112,177,42,91,134,121,96,223,138,278,418,6,4,9,370,584,957,36,126,163,45,116,161,19,53,71,110,267,375,0,3,5,210,557,773,34,36,73,61,106,163,0,3,3,93,146,241,3864,2905,6770,276,344,622,9275,8877,18151
