lga_name_2016,lga_code_2016,p_15_yrs_over_m,p_15_yrs_over_f,p_15_yrs_over_p,lfs_emplyed_wrked_full_time_m,lfs_emplyed_wrked_full_time_f,lfs_emplyed_wrked_full_time_p,lfs_emplyed_wrked_part_time_m,lfs_emplyed_wrked_part_time_f,lfs_emplyed_wrked_part_time_p,lfs_employed_away_from_work_m,lfs_employed_away_from_work_f,lfs_employed_away_from_work_p,lfs_unmplyed_lookng_for_wrk_m,lfs_unmplyed_lookng_for_wrk_f,lfs_unmplyed_lookng_for_wrk_p,lfs_tot_lf_m,lfs_tot_lf_f,lfs_tot_lf_p,lfs_n_the_labour_force_m,lfs_n_the_labour_force_f,lfs_n_the_labour_force_p,percent_unem_loyment_m,percent_unem_loyment_f,percent_unem_loyment_p,percnt_labforc_prticipation_m,percnt_labforc_prticipation_f,percnt_labforc_prticipation_p,percnt_employment_to_populn_m,percnt_employment_to_populn_f,percnt_employment_to_populn_p,non_sch_quals_postgrad_dgre_m,non_sch_quals_postgrad_dgre_f,non_sch_quals_postgrad_dgre_p,non_sch_quals_gr_dip_gr_crt_m,non_sch_quals_gr_dip_gr_crt_f,non_sch_quals_gr_dip_gr_crt_p,non_sch_quals_bchelr_degree_m,non_sch_quals_bchelr_degree_f,non_sch_quals_bchelr_degree_p,non_sch_quls_advncd_dip_dip_m,non_sch_quls_advncd_dip_dip_f,non_sch_quls_advncd_dip_dip_p,non_sch_quls_cert3a4_level_m,non_sch_quls_cert3a4_level_f,non_sch_quls_cert3a4_level_p,non_sch_quls_cert1a2_level_m,non_sch_quls_cert1a2_level_f,non_sch_quls_cert1a2_level_p,non_sch_quls_certnfd_level_m,non_sch_quls_certnfd_level_f,non_sch_quls_certnfd_level_p,non_sch_quls_certtot_level_m,non_sch_quls_certtot_level_f,non_sch_quls_certtot_level_p,migtn_lvd_same_add_1_yr_ago_m,migtn_lvd_same_add_1_yr_ago_f,migtn_lvd_same_add_1_yr_ago_p,migtn_lvd_diff_add_1_yr_ago_m,migtn_lvd_diff_add_1_yr_ago_f,migtn_lvd_diff_add_1_yr_ago_p,migtn_lvd_sme_add_5_yrs_ago_m,migtn_lvd_sme_add_5_yrs_ago_f,migtn_lvd_sme_add_5_yrs_ago_p,mign_lvd_diff_add_5_yrs_ago_m,mign_lvd_diff_add_5_yrs_ago_f,mign_lvd_diff_add_5_yrs_ago_p
South Gippsland (S),26170,11457,12127,23581,4527,2124,6653,1451,3216,4671,426,435,866,339,285,626,6751,6063,12810,3811,5114,8927,5.0,4.7,4.9,58.9,50.0,54.3,55.9,47.6,51.7,170,241,408,128,324,457,770,1360,2126,719,1223,1949,3339,1458,4797,93,183,282,187,276,461,3618,1923,5541,11099,11468,22567,1539,1727,3262,7960,8077,16038,4084,4573,8653
Southern Grampians (S),26260,6340,6862,13199,2782,1349,4127,785,1858,2643,221,258,479,187,142,335,3974,3605,7581,1964,2810,4774,4.7,3.9,4.4,62.7,52.5,57.4,59.7,50.5,54.9,120,115,233,75,160,236,432,863,1296,422,651,1080,1712,800,2511,65,143,206,97,146,242,1875,1087,2962,6291,6578,12872,869,946,1814,4722,4900,9623,2102,2318,4416
Stonnington (C),26350,42902,48063,90965,21804,16348,38154,5934,10239,16178,941,1265,2204,1533,1579,3112,30217,29429,59646,9321,15056,24380,5.1,5.4,5.2,70.4,61.2,65.6,66.8,57.9,62.2,5299,5074,10373,1232,2085,3313,13690,15466,29156,3475,4787,8257,3469,1882,5353,138,266,408,431,774,1202,4036,2931,6962,34041,37310,71345,10132,11578,21701,19538,21909,41451,23827,26378,50206
Strathbogie (S),26430,4303,4466,8763,1617,859,2480,505,1067,1580,168,146,317,102,105,210,2395,2188,4578,1536,1896,3430,4.3,4.8,4.6,55.7,49.0,52.2,53.2,46.4,49.9,69,68,138,40,115,158,283,504,788,300,493,794,1120,496,1621,24,67,87,52,115,161,1197,676,1870,4015,4079,8092,546,614,1159,2889,2899,5792,1498,1623,3127
Surf Coast (S),26490,11429,11914,23345,5268,2531,7796,1667,3791,5457,372,454,829,276,277,558,7588,7051,14637,3167,4210,7375,3.6,3.9,3.8,66.4,59.2,62.7,63.9,56.9,60.3,505,567,1071,260,502,761,1926,2548,4472,1172,1544,2715,2857,1113,3966,65,143,211,160,252,414,3080,1510,4588,11185,11444,22632,2107,2126,4234,7392,7458,14854,5321,5633,10946
Swan Hill (RC),26610,8284,8364,16646,3525,1728,5256,799,1907,2705,312,295,610,256,203,462,4894,4132,9032,2320,3222,5544,5.2,4.9,5.1,59.1,49.4,54.3,56.0,47.0,51.5,48,85,129,57,147,205,397,773,1167,446,661,1103,1862,888,2751,56,127,189,99,158,257,2021,1170,3193,7713,7659,15371,1122,1151,2273,5420,5358,10777,2895,2989,5889
Towong (S),26670,2572,2453,5023,1047,506,1551,284,617,899,117,101,216,79,55,129,1531,1270,2805,844,999,1846,5.2,4.3,4.6,59.5,51.8,55.8,56.3,49.9,53.1,35,38,70,27,56,88,140,265,408,157,293,450,781,325,1100,21,60,77,46,61,106,841,448,1288,2451,2344,4793,319,295,611,1864,1762,3628,797,797,1595
Wangaratta (RC),26700,11041,12165,23209,4730,2432,7163,1351,3294,4645,377,433,812,318,297,615,6775,6458,13229,3440,4698,8140,4.7,4.6,4.6,61.4,53.1,57.0,58.5,50.6,54.4,181,242,421,181,346,522,829,1500,2334,820,1329,2149,3024,1470,4499,101,178,283,169,262,431,3300,1909,5211,10852,11567,22426,1517,1678,3195,7839,8257,16091,4023,4487,8511
Warrnambool (C),26730,13017,14531,27546,5684,2964,8643,1830,4161,5990,432,534,966,447,413,863,8394,8068,16460,3665,5361,9029,5.3,5.1,5.2,64.5,55.5,59.8,61.0,52.7,56.6,257,306,567,193,403,595,1193,1930,3128,848,1425,2275,3275,1778,5052,106,238,347,160,285,440,3538,2303,5838,12175,13199,25378,2308,2526,4830,8173,8831,17009,5725,6341,12064
Wellington (S),26810,17769,17585,35358,7001,3425,10425,1802,4468,6264,621,635,1254,706,491,1196,10126,9017,19141,6270,7206,13474,7.0,5.4,6.2,57.0,51.3,54.1,53.0,48.5,50.7,212,295,503,186,433,621,1008,1919,2930,1067,1669,2739,5134,2187,7325,146,290,434,220,400,625,5504,2877,8381,16239,16512,32746,2496,2661,5153,11475,11500,22979,6437,6840,13275
West Wimmera (S),26890,1625,1604,3234,787,353,1134,161,435,596,68,66,130,41,30,72,1058,879,1933,475,626,1101,3.9,3.4,3.7,65.1,54.8,59.8,62.5,53.2,57.5,12,23,37,10,29,46,70,190,254,101,164,262,364,185,546,23,28,54,17,40,59,402,252,657,1668,1614,3280,166,170,337,1314,1239,2554,435,478,913
Whitehorse (C),26980,64170,70660,134835,27743,16204,43946,9513,17987,27500,1391,1863,3251,2995,2607,5603,41648,38666,80308,19857,28897,48748,7.2,6.7,7.0,64.9,54.7,59.6,60.2,51.0,55.4,6228,5822,12049,1720,2927,4649,14610,17074,31686,6212,7521,13729,8304,3782,12082,316,490,803,778,1212,1988,9396,5484,14879,60524,65814,126343,12193,12562,24753,41409,45634,87044,28909,30358,59267
Whittlesea (C),27070,75780,79530,155311,36084,18872,54957,9434,19215,28649,2241,2710,4951,3577,3294,6868,51331,44090,95424,20697,31385,52079,7.0,7.5,7.2,67.7,55.4,61.4,63.0,51.3,57.0,3135,2938,6077,748,1544,2291,8416,11125,19539,6296,8436,14732,15876,8075,23955,543,998,1538,1029,1656,2686,17449,10727,28173,75819,77814,153635,13887,14099,27989,47826,49119,96943,36487,37697,74181
Wodonga (C),27170,15197,16050,31242,7436,3776,11212,1712,4266,5977,452,563,1010,577,589,1160,10168,9186,19357,4016,5856,9878,5.7,6.4,6.0,66.9,57.2,62.0,63.2,53.6,58.3,272,334,605,207,412,620,1057,1831,2888,1254,1776,3031,4314,2450,6760,162,331,497,227,410,639,4703,3192,7897,14174,14823,28994,3279,3366,6649,8747,9205,17947,7826,8101,15920
Wyndham (C),27260,80948,82364,163311,42341,22235,64576,9878,18906,28789,2409,2639,5049,4157,4669,8831,58791,48447,107237,17686,29406,47091,7.1,9.6,8.2,72.6,58.8,65.7,67.5,53.2,60.3,6263,5424,11693,1136,1712,2846,11283,14094,25378,7373,9036,16407,15364,8406,23771,590,925,1516,1128,1576,2697,17075,10906,27982,80939,81721,162659,17239,17557,34795,46188,46615,92801,44778,45716,90488
Yarra (C),27350,37204,39777,76983,19413,15942,35363,5011,8262,13272,917,1232,2145,1468,1349,2814,26812,26790,53597,6877,9389,16269,5.5,5.0,5.3,72.1,67.4,69.6,68.1,63.9,66.0,4512,5121,9631,1255,2184,3440,11370,12643,24009,2709,3178,5891,3207,1788,4993,160,226,388,370,474,842,3734,2486,6224,27593,29377,56975,9202,9938,19138,14945,16188,31133,21088,22405,43492
Yarra Ranges (S),27450,59178,61903,121080,29758,14326,44084,7485,18683,26167,1910,2251,4162,1827,1743,3572,40986,37000,77988,15223,21809,37029,4.5,4.7,4.6,69.3,59.8,64.4,66.2,57.0,61.5,1538,1807,3346,951,1949,2908,5769,8699,14472,4963,7859,12823,17925,7624,25551,435,883,1326,861,1473,2325,19222,9982,29201,60804,62062,122871,7258,7797,15058,43893,44404,88301,21439,22972,44408
Yarriambiack (S),27630,2799,2815,5618,1072,457,1528,260,654,911,88,104,188,81,53,136,1496,1262,2762,1077,1297,2371,5.4,4.2,4.9,53.4,44.8,49.2,50.7,43.2,46.8,16,20,42,18,46,62,117,248,361,143,267,414,672,329,1003,27,49,75,36,60,101,732,444,1176,2757,2683,5439,282,292,571,2135,2026,4156,773,850,1627
Unincorporated Vic,29399,406,339,746,191,120,310,48,56,107,10,13,18,9,3,13,263,194,451,43,48,91,3.4,1.5,2.9,64.8,57.2,60.5,61.3,55.8,58.3,10,15,22,3,11,14,47,54,102,28,30,64,65,33,97,3,3,6,10,3,19,82,43,126,263,202,470,81,78,156,168,127,293,158,149,310
No usual address (Vic.),29499,3942,2883,6825,811,384,1194,317,326,641,115,81,193,367,251,613,1610,1038,2647,1119,1175,2291,22.8,24.2,23.2,40.8,36.0,38.8,31.5,27.4,29.7,133,106,238,30,60,91,344,449,792,190,219,404,540,242,777,25,36,60,45,52,101,602,327,932,810,544,1354,2095,1859,3954,534,315,849,2233,1988,4223
Migratory - Offshore - Shipping (Vic.),29799,27,4,25,16,0,16,0,0,0,3,0,3,0,0,0,23,0,23,0,4,4,0.0,0.0,0.0,85.2,0.0,92.0,70.4,0.0,76.0,0,0,0,0,0,0,3,0,3,0,0,3,12,0,12,0,0,0,0,0,0,12,0,12,13,0,12,12,0,11,12,0,7,16,0,13
Aurukun (S),30250,449,459,901,97,57,154,30,31,64,11,6,18,75,60,140,210,156,371,220,285,502,35.7,38.5,37.7,46.8,34.0,41.2,30.7,20.5,26.2,0,3,3,0,0,0,13,11,22,8,19,26,74,26,97,11,12,22,5,4,10,87,46,126,553,574,1132,50,41,86,481,529,1011,73,44,118
Balonne (S),30300,1748,1692,3437,925,468,1397,172,463,636,58,60,118,59,43,99,1223,1032,2255,381,505,890,4.8,4.2,4.4,70.0,61.0,65.6,66.1,58.6,62.6,12,17,33,9,28,39,91,216,305,99,168,272,351,162,505,11,29,42,25,22,45,385,212,600,1744,1635,3378,269,273,537,1222,1092,2316,696,699,1391
Banana (S),30370,5769,5383,11152,3363,1573,4944,436,1349,1782,272,197,466,164,138,298,4228,3255,7489,1020,1681,2695,3.9,4.2,4.0,73.3,60.5,67.2,70.6,57.9,64.5,52,62,117,28,89,114,268,576,845,220,367,588,1515,618,2127,53,92,149,97,104,198,1665,806,2476,5710,5338,11050,920,902,1821,3881,3530,7406,2345,2336,4676
Barcaldine (R),30410,1141,1143,2279,661,395,1056,66,249,315,33,40,77,19,24,41,777,709,1485,273,357,627,2.4,3.4,2.8,68.1,62.0,65.2,66.6,59.8,63.5,20,12,31,6,17,18,64,151,212,49,69,119,250,140,396,16,18,28,20,22,41,287,181,461,1135,1136,2269,169,168,337,856,836,1694,368,402,764
Barcoo (S),30450,129,104,232,80,54,140,11,11,21,8,0,7,0,0,4,100,73,172,20,27,46,0.0,0.0,2.3,77.5,70.2,74.1,76.7,62.5,72.4,0,0,3,0,0,0,3,12,12,6,8,14,29,11,37,3,3,4,3,3,5,32,13,48,114,89,203,21,27,49,72,45,120,50,61,115
Blackall-Tambo (R),30760,778,788,1572,397,232,629,64,166,233,34,45,78,23,12,34,515,454,971,225,286,512,4.5,2.6,3.5,66.2,57.6,61.8,63.6,56.2,59.8,4,8,8,11,10,17,20,86,99,38,68,113,146,92,239,10,10,20,19,13,36,174,117,289,756,768,1526,111,106,219,561,536,1099,278,291,566
Longreach (R),34710,1432,1538,2964,773,596,1363,130,298,424,57,95,153,46,26,70,1003,1011,2012,287,401,686,4.6,2.6,3.5,70.0,65.7,67.9,67.0,64.3,65.5,21,28,47,9,40,52,83,220,303,98,131,235,327,169,498,27,32,58,20,34,48,366,233,608,1319,1362,2683,269,309,580,888,881,1765,612,718,1328
Mackay (R),34770,46089,45114,91204,22787,11558,34348,4083,11169,15255,1646,1483,3130,2630,2338,4966,31149,26546,57697,10378,15480,25859,8.4,8.8,8.6,67.6,58.8,63.3,61.9,53.7,57.8,518,622,1140,328,721,1047,2483,5018,7500,2253,3516,5765,15648,6040,21690,369,788,1160,568,972,1543,16588,7801,24391,43144,42289,85434,8183,8970,17149,28008,26676,54684,20719,22137,42855
McKinlay (S),34800,372,290,665,253,153,411,15,42,56,15,9,24,9,5,17,295,213,507,43,60,101,3.1,2.3,3.4,79.3,73.4,76.2,76.1,70.3,73.8,3,4,4,0,7,7,25,40,59,13,19,33,96,30,128,0,13,12,9,6,14,103,51,150,327,281,612,56,54,108,228,192,417,141,115,254
Mapoon (S),34830,111,112,224,35,34,67,6,3,10,0,0,3,18,9,32,64,46,114,51,57,102,28.1,19.6,28.1,57.7,41.1,50.9,36.9,33.0,35.7,0,0,0,0,3,3,3,3,8,3,9,11,33,17,48,9,7,17,0,0,0,39,28,67,116,128,246,25,20,41,89,83,180,40,44,83
Maranoa (R),34860,5039,4872,9908,2764,1735,4499,450,1044,1496,182,177,359,150,100,246,3548,3058,6603,955,1361,2317,4.2,3.3,3.7,70.4,62.8,66.6,67.4,60.7,64.1,37,72,112,26,74,97,274,629,902,303,469,772,1201,609,1815,61,85,149,78,99,178,1350,798,2148,4735,4437,9172,946,1009,1956,3055,2785,5839,2220,2325,4550
Mareeba (S),34880,9321,8358,17681,3093,1867,4955,920,1853,2770,281,274,557,430,320,751,4720,4311,9036,3619,3182,6805,9.1,7.4,8.3,50.6,51.6,51.1,46.1,47.8,46.8,121,149,263,50,118,165,493,893,1388,448,723,1176,2134,926,3062,91,135,221,130,186,317,2355,1241,3599,7820,7633,15456,1289,1371,2659,5507,5346,10852,3196,3244,6439
Moreton Bay (R),35010,162425,173755,336175,74956,43099,118054,18693,42721,61417,4686,5332,10023,8179,7673,15857,106516,98829,205347,46271,64634,110906,7.7,7.8,7.7,65.6,56.9,61.1,60.5,52.5,56.4,3612,3691,7301,1863,3530,5393,13111,21096,34207,13112,19086,32192,46074,23884,69956,1763,2822,4584,2680,4277,6953,50516,30982,81492,156314,162975,319290,32733,35464,68194,97754,100793,198553,82627,89640,172274
Mornington (S),35250,378,418,793,116,96,213,24,50,71,10,10,26,60,36,99,213,195,408,130,172,302,28.2,18.5,24.3,56.3,46.7,51.5,39.7,37.3,39.1,3,0,6,4,4,11,13,32,45,14,11,25,59,24,81,7,9,12,4,9,9,64,35,100,464,482,951,73,66,142,416,421,838,86,95,178
Mount Isa (C),35300,7372,6820,14193,4218,2558,6773,460,1280,1739,326,263,588,311,274,582,5319,4370,9688,1132,1653,2781,5.8,6.3,6.0,72.2,64.1,68.3,67.9,60.1,64.1,114,155,263,43,135,179,462,871,1333,295,468,765,2433,850,3285,81,111,194,74,119,191,2589,1080,3667,6540,5974,12514,1565,1715,3280,3891,3470,7358,3699,3675,7377
Murweh (S),35600,1659,1744,3411,833,569,1401,143,368,514,54,76,130,65,43,113,1099,1057,2161,417,541,958,5.9,4.1,5.2,66.2,60.6,63.4,62.1,58.1,60.0,12,18,31,6,36,42,74,214,291,77,128,200,337,186,522,12,34,43,18,33,45,367,244,614,1650,1634,3279,286,341,626,1122,1083,2202,670,755,1424
Napranum (S),35670,343,324,665,71,27,104,23,20,40,6,3,5,39,29,70,143,78,217,192,245,434,27.3,37.2,32.3,41.7,24.1,32.6,29.2,15.4,22.4,0,0,0,0,3,3,3,3,9,3,13,11,52,30,76,7,12,15,0,3,3,60,38,104,469,429,893,10,20,26,369,335,704,62,65,128
Noosa (S),35740,20978,22723,43702,7276,4340,11620,3230,6013,9252,561,577,1141,862,715,1577,11939,11646,23585,7543,9545,17088,7.2,6.1,6.7,56.9,51.3,54.0,52.8,48.1,50.4,659,674,1336,301,571,875,2339,3262,5606,1852,2936,4789,5816,2578,8387,152,332,484,432,679,1112,6397,3586,9985,18927,20061,38989,4062,4476,8532,11773,12378,24143,10721,11670,22394
North Burnett (R),35760,4408,4213,8625,1792,957,2756,393,909,1298,147,136,286,133,104,241,2471,2105,4574,1370,1619,2984,5.4,4.9,5.3,56.1,50.0,53.0,52.9,47.5,50.3,27,31,63,14,59,71,169,335,498,166,311,474,853,472,1321,48,86,136,75,91,166,976,652,1624,3963,3836,7800,639,640,1280,2851,2777,5626,1522,1506,3028
Northern Peninsula Area (R),35780,844,926,1768,276,275,546,73,125,200,26,28,55,119,86,201,488,512,1005,303,377,677,24.4,16.8,20.0,57.8,55.3,56.8,44.4,46.2,45.3,4,13,17,6,7,14,27,60,89,35,97,129,195,157,348,39,44,86,9,13,23,241,220,460,1167,1253,2416,107,109,213,876,941,1816,245,261,499
Palm Island (S),35790,825,833,1662,124,135,262,102,99,199,10,12,25,118,90,204,350,343,694,453,478,929,33.7,26.2,29.4,42.4,41.2,41.8,28.6,29.5,29.2,6,6,12,3,9,9,16,39,49,20,25,37,86,81,170,44,43,82,3,3,11,137,123,262,1075,1094,2167,84,90,172,930,890,1819,127,148,266
Paroo (S),35800,668,661,1325,299,208,507,48,123,172,20,28,47,27,13,42,396,371,766,214,241,456,6.8,3.5,5.5,59.3,56.1,57.8,54.9,54.3,54.8,5,9,13,3,16,21,17,50,64,29,57,90,140,69,210,4,16,23,11,13,24,155,95,257,646,648,1300,83,93,177,461,436,894,228,264,490
Pormpuraaw (S),36070,273,275,553,68,45,118,45,49,90,4,0,4,29,23,47,141,120,257,128,153,280,20.6,19.2,18.3,51.6,43.6,46.5,42.9,34.2,38.3,0,3,4,4,0,0,3,9,9,7,10,17,52,26,76,9,8,11,3,4,9,63,31,96,333,340,679,18,28,52,279,286,567,48,56,103
Quilpie (S),36150,340,307,648,203,130,340,25,60,78,18,12,37,13,3,14,259,209,471,58,81,136,5.0,1.4,3.0,76.2,68.1,72.7,72.4,65.8,70.2,0,5,4,0,4,4,15,38,49,17,27,40,73,49,123,4,4,5,0,5,11,76,59,138,342,302,643,52,44,104,220,176,393,154,164,314
Redland (C),36250,57691,61715,119405,27607,16330,43931,6942,15948,22890,1536,1813,3347,2477,2087,4563,38563,36166,74727,16379,22637,39014,6.4,5.8,6.1,66.8,58.6,62.6,62.5,55.2,58.8,1556,1550,3106,720,1306,2026,5442,7939,13385,5059,7280,12332,17387,8005,25390,509,968,1475,967,1660,2630,18859,10625,29490,55901,58192,114090,10562,11216,21779,36534,37845,74377,27716,29660,57378
Richmond (S),36300,336,302,638,195,124,321,22,60,82,12,14,28,6,7,13,238,204,443,61,70,139,2.5,3.4,2.9,70.8,67.5,69.4,68.2,65.6,67.6,3,4,6,0,9,8,9,37,42,20,24,44,73,34,101,3,8,7,8,9,15,84,50,129,292,269,558,77,69,144,182,159,341,169,156,319
Rockhampton (R),36370,30920,32228,63147,13608,8223,21831,3201,7335,10532,927,1029,1957,2052,1417,3475,19785,18004,37790,8415,11802,20213,10.4,7.9,9.2,64.0,55.9,59.8,57.4,51.5,54.3,602,512,1116,291,557,846,1976,3551,5526,1456,2353,3807,8402,3978,12379,408,614,1019,430,562,996,9242,5147,14396,29381,29988,59371,5789,6489,12280,18687,18673,37361,14646,15998,30648
Scenic Rim (R),36510,15914,16577,32494,6546,3485,10032,1792,4097,5891,500,510,1007,564,513,1074,9403,8601,18008,5209,6706,11917,6.0,6.0,6.0,59.1,51.9,55.4,55.5,48.8,52.1,312,349,667,158,306,456,1049,1831,2881,1042,1740,2782,4196,2004,6201,142,303,445,289,445,734,4624,2750,7374,14991,15553,30542,2706,2957,5661,10155,10338,20488,6756,7412,14159
Somerset (R),36580,9833,9739,19567,3714,1963,5675,966,2039,3007,302,278,584,441,378,818,5427,4659,10087,3558,4302,7860,8.1,8.1,8.1,55.2,47.8,51.6,50.7,43.9,47.4,83,117,197,55,153,209,432,792,1226,536,878,1413,2619,1304,3924,120,190,313,163,269,434,2902,1767,4669,9384,9231,18621,1664,1735,3402,6264,5978,12248,4151,4386,8534
South Burnett (R),36630,12944,13109,26054,4428,2450,6876,1320,2734,4060,376,349,720,520,421,936,6637,5954,12593,5279,6200,11478,7.8,7.1,7.4,51.3,45.4,48.3,47.3,42.2,44.7,107,146,252,80,170,251,561,1151,1717,622,1130,1756,3232,1675,4910,157,290,443,205,335,539,3597,2303,5898,12181,12174,24352,2270,2459,4723,8417,8171,16584,5266,5697,10965
Southern Downs (R),36660,13866,14637,28501,5375,2849,8225,1612,3370,4983,420,462,886,512,434,948,7919,7114,15041,5017,6607,11621,6.5,6.1,6.3,57.1,48.6,52.8,53.4,45.6,49.5,188,200,393,111,215,323,780,1400,2182,725,1242,1963,3394,1819,5213,153,264,415,245,377,622,3796,2452,6252,13461,13794,27256,2311,2523,4842,9337,9518,18854,5676,6091,11766
Sunshine Coast (R),36720,114603,126390,240989,46762,26520,73284,15612,34049,49661,3257,3438,6693,5167,4815,9984,70793,68828,139619,36456,50106,86559,7.3,7.0,7.2,61.8,54.5,57.9,57.3,50.6,53.8,3142,3380,6520,1569,3034,4602,11595,18030,29627,9702,14760,24459,33210,15991,49198,1029,1853,2878,2060,3403,5461,36297,21237,57542,103243,111063,214305,25753,28216,53972,62090,65943,128038,62615,69158,131777
Tablelands (R),36820,9881,10442,20319,3418,2038,5454,1171,2382,3553,327,319,646,451,354,803,5367,5094,10458,3598,4467,8067,8.4,6.9,7.7,54.3,48.8,51.5,49.8,45.4,47.5,184,188,369,92,167,261,607,1145,1750,552,1019,1570,2807,1203,4004,101,171,272,144,247,387,3052,1612,4664,9289,9537,18830,1634,1799,3435,6441,6526,12971,3951,4302,8256
Toowoomba (R),36910,61751,66435,128188,28525,16158,44680,6840,15931,22769,1759,1981,3740,2762,2387,5149,39882,36457,76338,17271,25216,42492,6.9,6.5,6.7,64.6,54.9,59.6,60.1,51.3,55.5,1910,1859,3767,720,1412,2128,5696,9039,14738,4078,6147,10221,15706,8370,24081,713,1076,1787,930,1422,2355,17354,10875,28224,57670,61210,118876,12847,13759,26607,35962,37980,73937,31179,33626,64804
Torres (S),36950,1280,1348,2627,469,462,928,129,184,309,76,67,145,62,53,116,738,763,1501,316,344,668,8.4,6.9,7.7,57.7,56.6,57.1,52.7,52.9,52.6,14,44,56,18,28,42,79,147,229,65,109,179,266,142,403,25,52,80,28,14,49,318,207,531,1246,1256,2503,283,301,587,841,824,1663,555,604,1162
Torres Strait Island (R),36960,1503,1450,2954,318,223,537,172,195,364,44,26,69,115,64,183,646,506,1153,682,814,1499,17.8,12.6,15.9,43.0,34.9,39.0,35.5,30.6,32.8,3,6,10,3,18,24,12,56,74,37,93,132,329,246,576,96,101,199,25,20,45,454,364,818,1860,1806,3664,274,283,556,1551,1484,3035,376,393,769
Townsville (C),37010,74006,75042,149046,33906,21837,55741,8195,17689,25880,2269,2565,4830,4692,3748,8438,49060,45834,94891,18725,24064,42793,9.6,8.2,8.9,66.3,61.1,63.7,60.0,56.1,58.0,1920,2125,4051,717,1561,2275,6142,10951,17093,4870,6801,11677,20722,9814,30530,735,1199,1940,921,1373,2296,22375,12393,34767,65589,66374,131963,16649,17623,34274,39360,39313,78670,39048,41413,80461
Bulloo (S),31750,160,128,289,105,64,168,5,23,30,17,8,18,0,6,6,128,96,222,16,22,39,0.0,6.3,2.7,80.0,75.0,76.8,79.4,74.2,74.7,0,3,5,0,0,0,3,10,13,8,14,17,49,26,70,0,8,5,3,3,7,53,34,85,148,115,259,24,23,47,94,72,164,65,57,127
Bundaberg (R),31820,37236,39255,76488,12596,7410,20007,3884,8166,12052,954,957,1917,2284,1722,4007,19721,18250,37973,14565,18133,32703,11.6,9.4,10.6,53.0,46.5,49.6,46.8,42.1,44.4,479,458,931,279,557,831,1944,3761,5712,1814,3069,4881,10371,4774,15142,464,758,1226,604,856,1457,11436,6393,17827,34462,35563,70028,6657,7104,13760,23125,23396,46527,16432,17837,34266
Burdekin (S),31900,7079,6960,14039,3473,1600,5072,572,1739,2312,242,217,453,263,220,480,4548,3773,8320,1968,2650,4620,5.8,5.8,5.8,64.2,54.2,59.3,60.6,51.1,55.8,44,48,86,34,72,109,296,582,879,250,450,698,2110,776,2893,59,104,163,92,127,222,2265,1016,3278,6883,6679,13564,968,935,1906,5144,4930,10078,2337,2363,4701
Boulia (S),30900,189,156,351,108,64,176,6,19,32,8,8,14,11,6,18,131,98,229,30,33,62,8.4,6.1,7.9,69.3,62.8,65.2,64.6,58.3,63.2,0,0,4,0,6,6,4,6,12,4,5,11,33,23,52,4,4,8,0,3,7,34,27,65,138,121,253,45,36,82,77,49,124,98,105,204
Brisbane (C),31000,454147,477739,931879,218893,144127,363026,63790,117539,181322,11179,14923,26104,22482,19292,41774,316348,295883,612228,110204,154034,264234,7.1,6.5,6.8,69.7,61.9,65.7,64.7,57.9,61.2,36894,34789,71681,9883,16569,26448,93141,112699,205837,39067,47349,86416,76594,37605,114201,3334,4808,8145,5723,8481,14206,85651,50899,136547,398593,415918,814508,105942,109683,215621,241016,255268,496285,245384,253218,498599
Burke (S),31950,149,120,274,71,41,113,9,14,19,10,6,16,5,7,14,96,68,160,29,27,51,5.2,10.3,8.8,64.4,56.7,58.4,60.4,50.8,54.0,0,0,0,0,0,4,7,10,13,6,8,18,27,15,42,5,8,10,0,0,0,34,19,51,112,84,196,30,27,58,83,68,147,57,42,101
Cairns (R),32080,60893,63897,124795,26722,18461,45184,7744,15534,23276,1937,2013,3950,3369,2682,6056,39772,38694,78467,15077,19357,34437,8.5,6.9,7.7,65.3,60.6,62.9,59.8,56.4,58.0,1447,1863,3309,672,1435,2108,5584,9242,14825,4732,6805,11536,16701,7885,24586,701,1023,1728,949,1478,2427,18350,10390,28745,54194,55424,109621,13477,14585,28060,33002,33087,66085,31557,34120,65680
Carpentaria (S),32250,803,743,1548,351,250,595,56,98,152,34,29,61,35,38,77,478,412,885,235,260,496,7.3,9.2,8.7,59.5,55.5,57.2,54.9,50.7,52.2,10,12,19,4,11,12,26,59,84,39,49,83,187,67,252,4,9,17,13,10,24,205,86,295,705,664,1369,189,190,377,460,424,886,353,349,705
Cassowary Coast (R),32260,11994,11469,23462,4803,2520,7328,1290,2723,4013,392,355,742,612,413,1021,7094,6008,13103,3667,4415,8079,8.6,6.9,7.8,59.1,52.4,55.8,54.1,48.8,51.5,113,134,242,72,152,221,581,999,1581,571,883,1451,3391,1364,4753,114,207,326,160,235,402,3665,1811,5476,10982,10363,21350,2034,2042,4080,7843,7288,15138,4499,4542,9045
Central Highlands (R) (Qld),32270,11196,9878,21073,6354,2872,9231,875,2501,3374,459,397,858,393,378,776,8085,6153,14235,1524,2569,4092,4.9,6.1,5.5,72.2,62.3,67.6,68.7,58.4,63.9,99,134,232,64,151,214,573,1160,1731,489,757,1247,3333,1249,4584,117,200,317,161,191,348,3615,1640,5256,10147,9146,19292,2275,2299,4566,6059,5171,11234,5457,5362,10821
